minute_unix,exchange,symbol,last_price,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount
1755611640,binance,BTCUSDT,115340.000000,115339.990000,5.659410,115340.000000,1.042870
1755611700,binance,BTCUSDT,115266.700000,115260.450000,1.787370,115260.460000,6.327020
1755611760,binance,BTCUSDT,115246.040000,115246.040000,0.050870,115246.050000,5.651020
